commute,happy_work,income,yeduc
15,0,12.5,13
15,2,12.5,14
15,3,12.5,14
15,2,12.5,14
15,2,12.5,14
15,2,12.5,14
15,2,12.5,14
15,3,12.5,14
15,2,12.5,14
15,2,12.5,14
15,2,12.5,14
15,1,12.5,15
15,3,12.5,15
15,0,12.5,15
15,3,12.5,15
15,3,12.5,15
15,0,12.5,15
15,0,12.5,15
15,4,12.5,15
15,1,12.5,15
15,1,12.5,15
15,0,12.5,15
15,3,12.5,15
15,4,12.5,15
15,3,12.5,15
15,2,12.5,15
15,1,12.5,15
15,1,12.5,15
15,1,12.5,15
15,3,12.5,15
15,3,12.5,16
15,3,12.5,16
15,2,12.5,16
15,4,12.5,16
15,4,12.5,16
15,3,12.5,16
15,4,12.5,16
15,0,12.5,17
15,1,50,9
15,3,50,11
15,4,50,11
15,1,50,11
15,2,50,11
15,3,50,11
15,2,50,12
15,3,50,12
15,2,50,12
15,3,50,12
15,3,50,12
15,0,50,12
15,1,50,12
15,2,50,12
15,2,50,12
15,1,50,12
15,4,50,12
15,3,50,12
15,2,50,12
15,2,50,12
15,1,50,12
15,4,50,12
15,1,50,12
15,1,50,12
15,2,50,12
15,0,50,12
15,1,50,12
15,3,50,12
15,0,50,12
15,2,50,12
15,1,50,12
15,4,50,12
15,2,50,12
15,2,50,12
15,3,50,12
15,3,50,12
15,4,50,12
15,3,50,12
15,2,50,12
15,3,50,12
15,2,50,12
15,2,50,12
15,3,50,13
15,3,50,13
15,3,50,13
15,1,50,13
15,3,50,13
15,3,50,13
15,1,50,13
15,2,50,13
15,3,50,13
15,3,50,13
15,4,50,13
15,3,50,13
15,4,50,13
15,4,50,13
15,2,50,13
15,2,50,13
15,3,50,13
15,3,50,13
15,4,50,13
15,4,50,13
15,3,50,14
15,3,50,14
15,3,50,14
15,3,50,14
15,2,50,14
15,3,50,14
15,0,50,14
15,3,50,14
15,3,50,14
15,2,50,14
15,3,50,14
15,1,50,14
15,2,50,14
15,0,50,14
15,2,50,14
15,3,50,15
15,3,50,15
15,2,50,15
15,1,50,15
15,3,50,15
15,2,50,15
15,3,50,15
15,2,50,15
15,3,50,15
15,3,50,15
15,1,50,15
15,2,50,15
15,4,50,15
15,2,50,15
15,2,50,15
15,3,50,15
15,3,50,15
15,3,50,15
15,3,50,15
15,3,50,15
15,2,50,15
15,2,50,15
15,4,50,15
15,3,50,15
15,2,50,15
15,1,50,15
15,3,50,15
15,0,50,15
15,2,50,15
15,2,50,15
15,1,50,15
15,1,50,15
15,4,50,15
15,4,50,15
15,3,50,15
15,3,50,15
15,4,50,16
15,2,50,16
15,2,50,16
15,2,50,16
15,4,50,16
15,4,50,16
15,0,50,16
15,4,50,17
15,0,50,17
15,3,50,17
15,2,100,9
15,4,100,9
15,2,100,9
15,2,100,9
15,3,100,9
15,2,100,11
15,1,100,11
15,0,100,11
15,1,100,11
15,0,100,11
15,1,100,11
15,0,100,11
15,1,100,12
15,3,100,12
15,3,100,12
15,1,100,12
15,1,100,12
15,0,100,12
15,3,100,12
15,3,100,12
15,3,100,12
15,3,100,12
15,2,100,12
15,1,100,12
15,1,100,12
15,1,100,12
15,2,100,12
15,3,100,12
15,3,100,12
15,1,100,12
15,4,100,12
15,3,100,12
15,3,100,12
15,3,100,12
15,1,100,12
15,2,100,12
15,2,100,12
15,2,100,12
15,1,100,12
15,2,100,12
15,3,100,12
15,0,100,12
15,3,100,12
15,2,100,12
15,1,100,12
15,1,100,12
15,0,100,12
15,3,100,12
15,4,100,12
15,1,100,12
15,1,100,12
15,3,100,12
15,4,100,12
15,3,100,12
15,3,100,12
15,1,100,12
15,1,100,12
15,3,100,12
15,4,100,12
15,2,100,12
15,1,100,12
15,3,100,12
15,3,100,12
15,1,100,12
15,3,100,12
15,4,100,12
15,1,100,12
15,2,100,12
15,0,100,12
15,3,100,12
15,2,100,12
15,3,100,12
15,1,100,12
15,3,100,12
15,3,100,12
15,1,100,12
15,1,100,12
15,1,100,12
15,3,100,12
15,3,100,12
15,3,100,12
15,2,100,12
15,1,100,12
15,0,100,12
15,2,100,12
15,1,100,12
15,2,100,12
15,2,100,12
15,0,100,12
15,0,100,12
15,3,100,12
15,3,100,12
15,3,100,12
15,1,100,12
15,1,100,12
15,2,100,12
15,3,100,12
15,1,100,12
15,3,100,12
15,2,100,12
15,2,100,12
15,1,100,12
15,3,100,12
15,2,100,12
15,2,100,12
15,0,100,12
15,1,100,12
15,1,100,12
15,0,100,12
15,3,100,12
15,3,100,12
15,2,100,12
15,2,100,12
