commute,female,happy_work,income,yeduc,female_commute,female_yeduc,female_income
15,0,0,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,0,300,12,0,0,0
15,0,4,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,4,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,4,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,0,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,4,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,2,300,12,0,0,0
15,0,0,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,3,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,1,300,12,0,0,0
15,0,2,300,12,0,0,0
15,1,1,300,12,15,12,300
15,1,4,300,12,15,12,300
15,1,0,300,12,15,12,300
15,1,0,300,12,15,12,300
15,1,3,300,12,15,12,300
15,1,2,300,12,15,12,300
15,1,3,300,12,15,12,300
15,1,2,300,12,15,12,300
15,1,0,300,12,15,12,300
15,1,4,300,12,15,12,300
15,1,2,300,12,15,12,300
15,1,2,300,12,15,12,300
15,1,3,300,12,15,12,300
15,1,3,300,12,15,12,300
15,1,3,300,12,15,12,300
15,1,2,300,12,15,12,300
15,1,1,300,12,15,12,300
15,1,3,300,12,15,12,300
15,1,0,300,12,15,12,300
15,1,1,300,12,15,12,300
15,1,3,300,12,15,12,300
15,1,2,300,12,15,12,300
15,1,1,300,12,15,12,300
