yeduc,income,lincome,lyeduc
12,56.25,4.029806,2.484907
12,256.25,5.546154,2.484907
12,256.25,5.546154,2.484907
12,106.25,4.665795,2.484907
12,6.25,1.832582,2.484907
12,56.25,4.029806,2.484907
12,156.25,5.051457,2.484907
12,106.25,4.665795,2.484907
12,106.25,4.665795,2.484907
12,6.25,1.832582,2.484907
12,12.5,2.525729,2.484907
12,206.25,5.329089,2.484907
12,106.25,4.665795,2.484907
12,106.25,4.665795,2.484907
12,206.25,5.329089,2.484907
12,56.25,4.029806,2.484907
12,6.25,1.832582,2.484907
12,156.25,5.051457,2.484907
12,106.25,4.665795,2.484907
12,256.25,5.546154,2.484907
12,6.25,1.832582,2.484907
12,206.25,5.329089,2.484907
12,206.25,5.329089,2.484907
12,31.25,3.442019,2.484907
12,206.25,5.329089,2.484907
12,12.5,2.525729,2.484907
12,106.25,4.665795,2.484907
